inning,pitcher,season,hits_allowed,walks,strikeouts,batters_faced,runs_allowed,ERA_season,WHIP_season,FIP_season,K/9_season,BB/9_season,xFIP_season,CSW%_season,xERA_season,runs_rolling10_team,OBP_team,SLG_team,K_rate_team,BB_rate_team,is_home_team,label
1,592332,2023,3,3,10,9,0,3.16,1.18,2.97,11.53,2.68,3.22,0.296,3.85,0.4,0.3636363636363636,0.1951219512195122,0.2727272727272727,0.2545454545454545,True,0
1,673540,2023,7,2,3,10,2,2.98,1.22,3.63,10.93,4.17,3.77,0.28,3.87,0.9,0.4081632653061224,0.7209302325581395,0.2448979591836734,0.1020408163265306,True,0
1,669923,2023,8,0,3,9,3,3.35,1.04,3.34,8.12,0.9,3.63,0.273,3.9,0.3,0.2682926829268293,0.3157894736842105,0.3170731707317073,0.073170731707317,True,1
1,608337,2023,7,3,6,9,4,4.88,1.31,5.27,9.96,3.56,4.45,0.288,4.61,1.2,0.4285714285714285,0.5217391304347826,0.125,0.125,True,1
1,680694,2023,2,2,9,9,0,2.83,1.04,3.27,8.96,2.35,3.53,0.291,3.77,0.4,0.3181818181818182,0.4,0.2272727272727272,0.0909090909090909,True,0
1,664299,2023,3,2,11,9,1,4.56,1.27,4.58,8.83,3.44,5.16,0.252,4.42,0.4,0.3488372093023256,0.4444444444444444,0.2790697674418604,0.1395348837209302,False,1
1,605400,2023,6,0,8,9,2,4.46,1.15,4.03,9.39,2.09,3.63,0.296,3.71,0.7,0.3469387755102041,0.7142857142857143,0.2244897959183673,0.1224489795918367,True,0
1,693821,2023,3,5,0,9,4,3.81,1.28,4.42,6.6,3.25,4.49,0.264,4.61,1.3,0.5,0.5681818181818182,0.1724137931034483,0.2068965517241379,False,1
1,668678,2023,6,3,6,9,4,3.47,1.12,3.26,9.43,2.01,3.49,0.285,4.16,0.6,0.3404255319148936,0.6190476190476191,0.2553191489361702,0.0851063829787234,False,1
1,622491,2023,5,3,7,9,2,3.34,1.1,3.81,10.01,2.56,3.81,0.29,3.79,0.3,0.2682926829268293,0.2972972972972973,0.3658536585365853,0.0975609756097561,True,1
1,502043,2023,5,2,5,9,3,4.73,1.32,4.13,7.36,2.58,4.13,0.272,4.8,0.4,0.3478260869565217,0.4390243902439024,0.1956521739130435,0.108695652173913,True,1
1,605483,2023,0,4,10,9,0,2.25,1.19,3.44,11.7,4.95,3.62,0.308,3.77,0.3,0.175,0.2368421052631578,0.275,0.025,False,0
1,579328,2023,4,1,7,9,1,3.86,1.27,4.12,9.72,2.58,3.77,0.2789999999999999,4.3,0.4,0.3396226415094339,0.1951219512195122,0.2641509433962264,0.2264150943396226,True,1
1,675911,2023,4,1,11,9,3,3.86,1.09,2.85,13.55,2.8,2.92,0.3379999999999999,3.09,1.2,0.4727272727272727,0.5581395348837209,0.2,0.1818181818181818,False,0
1,676664,2023,6,5,6,9,4,4.54,1.26,5.15,8.41,2.77,5.1,0.255,4.64,0.9,0.4117647058823529,0.4634146341463415,0.2352941176470588,0.1568627450980392,False,0
1,458681,2023,6,3,6,9,3,5.73,1.39,5.53,9.36,3.28,4.5,0.265,4.86,0.5,0.4117647058823529,0.4222222222222222,0.3333333333333333,0.1176470588235294,False,0
1,434378,2023,8,1,5,9,3,3.22,1.13,3.85,7.98,2.49,4.56,0.259,3.63,0.1,0.2631578947368421,0.1935483870967742,0.2894736842105263,0.1578947368421052,False,1
1,642547,2023,4,0,6,9,1,3.86,1.12,3.85,11.41,2.93,3.42,0.294,3.35,0.6,0.3023255813953488,0.3611111111111111,0.1162790697674418,0.1395348837209302,True,1
1,554430,2023,3,2,5,9,1,3.61,1.08,3.15,9.94,1.83,3.54,0.275,3.18,0.7,0.3469387755102041,0.6585365853658537,0.1836734693877551,0.1224489795918367,True,1
1,656756,2023,5,0,8,9,1,3.2,1.19,3.56,7.92,2.29,4.01,0.28,3.98,0.5,0.3584905660377358,0.5,0.2264150943396226,0.0566037735849056,False,1
1,669302,2023,7,1,6,9,5,3.73,1.08,3.85,8.92,1.7,3.76,0.271,3.69,0.8,0.3617021276595745,0.625,0.1702127659574468,0.0851063829787234,False,1
1,592836,2023,8,1,3,9,5,4.38,1.31,4.53,7.19,3.7,4.83,0.25,4.36,0.6,0.3023255813953488,0.3714285714285714,0.1395348837209302,0.1395348837209302,True,0
1,543243,2023,5,0,5,9,0,2.79,1.15,2.83,8.95,2.69,3.64,0.2789999999999999,3.66,1.0,0.3191489361702128,0.4651162790697674,0.2978723404255319,0.0425531914893617,True,1
1,656302,2023,4,3,5,9,3,4.58,1.42,3.72,10.88,4.02,4.08,0.291,4.1,0.2,0.3023255813953488,0.2,0.3255813953488372,0.1860465116279069,False,0
